Recipe_Name                                                                                       ,calories      ,cuisine_type        ,meal_type                 ,diet_labels                        ,ingredient_1_name                    ,ingredient_1_quantity ,ingredient_1_unit ,ingredient_2_name        ,ingredient_2_quantity ,ingredient_2_unit ,ingredient_3_name             ,ingredient_3_quantity ,ingredient_3_unit ,ingredient_4_name                      ,ingredient_4_quantity ,ingredient_4_unit ,ingredient_5_name           ,ingredient_5_quantity ,ingredient_5_unit ,ingredient_6_name          ,ingredient_6_quantity ,ingredient_6_unit ,ingredient_7_name                ,ingredient_7_quantity ,ingredient_7_unit ,ingredient_8_name                 ,ingredient_8_quantity ,ingredient_8_unit ,ingredient_9_name                          ,ingredient_9_quantity ,ingredient_9_unit ,ingredient_10_name                         ,ingredient_10_quantity ,ingredient_10_unit ,ingredient_11_name         ,ingredient_11_quantity ,ingredient_11_unit ,ingredient_12_name     ,ingredient_12_quantity ,ingredient_12_unit ,ingredient_13_name   ,ingredient_13_quantity ,ingredient_13_unit ,ingredient_14_name    ,ingredient_14_quantity ,ingredient_14_unit ,ingredient_15_name    ,ingredient_15_quantity ,ingredient_15_unit ,ENERC_KCAL ,FAT     ,FASAT  ,FATRN ,FAMS   ,FAPU   ,CHOCDF  ,FIBTG  ,SUGAR  ,PROCNT  ,CHOLE   ,NA       ,CA       ,MG      ,K        ,FE     ,ZN     ,P        ,VITA_RAE ,VITC    ,VITD   ,TOCPHA ,VITK1    ,WATER
Spinach and Ricotta Cannelloni                                                                    , 3493.530116  ,italian             ,lunch/dinner              ,                                   ,cheddar cheese                       ,        250           ,gram              ,garlic                   ,          1           ,clove             ,Spinach                       ,        500           ,gram              ,ricotta cheese                         ,        500           ,gram              ,eggs                        ,          2           ,<unit>            ,Nutmeg                     ,          1           ,teaspoon          ,salt                             ,          0           ,                  ,pepper                            ,          0           ,                  ,Cannelloni                                 ,         20           ,tube              ,diced tomatoes                             ,        1260           ,gram               ,chilli sauce               ,         100           ,gram               ,                       ,                       ,                   ,                     ,                       ,                   ,                      ,                       ,                   ,                      ,                       ,                   ,   249.538 , 11.006 , 6.033 ,0.121 , 2.944 , 0.751 , 26.28  , 3.487 , 3.392 , 12.535 , 58.03  , 506.01  , 278.038 , 64.447 , 545.324 , 2.078 , 1.576 , 229.049 , 299.119 , 26.79  , 0.301 , 1.528 , 176.946 ,164.558
Bbq Pork Ribs Recipe                                                                              , 4805.30146   ,american            ,lunch/dinner              ,                                   ,pork ribs                            ,          1           ,rack              ,olive oil                ,          2           ,tablespoon        ,coarse salt                   ,          0           ,                  ,black pepper                           ,          0           ,                  ,barbecue sauce              ,          2           ,cup               ,                           ,                      ,                  ,                                 ,                      ,                  ,                                  ,                      ,                  ,                                           ,                      ,                  ,                                           ,                       ,                   ,                           ,                       ,                   ,                       ,                       ,                   ,                     ,                       ,                   ,                      ,                       ,                   ,                      ,                       ,                   ,  2402.651 ,167.099 ,50.86  ,1.44  ,65.487 ,27.343 ,115.639 , 3.225 ,92.646 ,103.099 ,518.8   ,3399.82  , 201.986 ,144.857 ,2254.331 , 8.037 ,16.72  , 974.645 ,  31.452 ,  1.674 ,14.916 , 6.605 ,  17.779 ,540.769
Stuffed cabbage rolls                                                                             ,  919.111     ,american            ,lunch/dinner              ,High-Fiber                         ,leek                                 ,          1           ,<unit>            ,carrots                  ,        750           ,gram              ,garlic                        ,          4           ,clove             ,toasted almonds                        ,         25           ,gram              ,fresh dill                  ,          1           ,sprig             ,feta cheese                ,         50           ,gram              ,olive oil                        ,          2           ,tablespoon        ,cumin seeds                       ,          1           ,teaspoon          ,savoy cabbage                              ,          8           ,leaf              ,                                           ,                       ,                   ,                           ,                       ,                   ,                       ,                       ,                   ,                     ,                       ,                   ,                      ,                       ,                   ,                      ,                       ,                   ,   229.778 , 13.378 , 2.931 ,0     , 7.672 , 1.853 , 24.758 , 6.761 ,10.328 ,  5.651 , 11.125 , 295.308 , 167.367 , 54.042 , 737.227 , 1.825 , 1.131 , 156.418 ,1605.247 , 17.851 , 0.05  , 3.967 ,  46.455 ,202.024
Vegetarian Moussaka                                                                               , 2007.132133  ,mediterranean       ,lunch/dinner              ,"Balanced, High-Fiber"             ,tomatoes                             ,         14.5         ,ounce             ,dried oregano            ,          1           ,teaspoon          ,milk                          ,          1.25        ,cup               ,ground nutmeg                          ,          1           ,pinch             ,garlic                      ,          1           ,clove             ,butter                     ,          1.5         ,tablespoon        ,olive oil                        ,          1           ,tablespoon        ,egg                               ,          1           ,<unit>            ,all-purpose flour                          ,          2           ,tablespoon        ,eggplant                                   ,           1           ,<unit>             ,lentils                    ,           7.25        ,ounce              ,parsley                ,           2           ,tablespoon         ,zucchini             ,           1           ,<unit>             ,onion                 ,                  1    ,<unit>             ,feta cheese           ,           1           ,cup                ,   286.733 , 12.997 , 6.578 ,0.002 , 4.158 , 0.908 , 31.459 , 7.997 , 9.457 , 13.302 , 56.434 , 413.336 , 277.594 , 64.641 , 901.88  , 2.741 , 1.972 , 301.627 , 110.299 , 32.713 , 0.802 , 1.212 ,  28.746 ,316.701
Crab Cakes with Remoulade                                                                         , 3016.746074  ,american            ,lunch/dinner              ,Low-Carb                           ,crab meat                            ,          1           ,pound             ,white bread              ,          3           ,slice             ,mayonnaise                    ,          1           ,tablespoon        ,dijon mustard                          ,          1           ,tablespoon        ,old bay seasonings          ,          2           ,teaspoon          ,parsley                    ,          1           ,tablespoon        ,egg                              ,          1           ,<unit>            ,Vegetable oil                     ,          0           ,                  ,egg yolks                                  ,          2           ,<unit>            ,dijon mustard                              ,           1           ,tablespoon         ,vegetable oil              ,           1           ,cup                ,hot sauce              ,           1           ,teaspoon           ,worcestershire sauce ,           1           ,teaspoon           ,lemon juice           ,                  1    ,tablespoon         ,kosher salt           ,           0.25        ,teaspoon           ,   502.791 , 44.776 , 3.826 ,0.322 ,30.023 , 8.705 ,  8.6   , 0.998 , 1.255 , 17.241 ,153.749 , 636.067 , 111.398 , 40.173 , 272.62  , 1.645 , 3.323 , 239.194 ,  37.895 ,  6.994 , 0.409 ,10.288 ,  19.218 , 85.659
Hazelnut butter grilled scallops with salad                                                       , 1299.711689  ,mediterranean       ,lunch/dinner              ,"High-Fiber, Low-Carb"             ,olive oil                            ,          1           ,teaspoon          ,shallot                  ,          1           ,<unit>            ,butter                        ,         75           ,gram              ,lemon                                  ,          0.5         ,<unit>            ,chervil                     ,          1           ,tablespoon        ,chives                     ,          1           ,tablespoon        ,hazelnuts                        ,         45           ,gram              ,Salt                              ,          0           ,                  ,black pepper                               ,          0           ,                  ,scallops                                   ,           6           ,<unit>             ,mustard                    ,           0.5         ,tablespoon         ,white wine vinegar     ,           0.5         ,tablespoon         ,rapeseed oil         ,           1.5         ,tablespoon         ,lettuce               ,                  1    ,<unit>             ,pea shoots            ,           1           ,<unit>             ,   649.856 , 58.187 ,21.271 ,0.046 ,27.509 , 6.58  , 20.811 , 8.082 , 5.11  , 19.005 , 98.625 , 962.013 , 230.009 ,187.551 ,1418.82  , 6.779 , 2.343 , 443.872 ,1036.93  , 60.486 , 0     , 9.487 , 799.544 ,309.614
Pan-Fried Chicken and Mashed Potatoes                                                             , 3464.281104  ,american            ,lunch/dinner              ,"High-Fiber, Low-Carb"             ,white potatoes                       ,          1.5         ,pound             ,Kosher salt              ,          0           ,                  ,pepper                        ,          0           ,                  ,low-fat sour cream                     ,          0.5         ,cup               ,chicken thighs              ,          8           ,<unit>            ,garlic                     ,          4           ,clove             ,red onion                        ,          1           ,<unit>            ,fresh thyme                       ,          8           ,sprig             ,olive oil                                  ,          1           ,tablespoon        ,                                           ,                       ,                   ,                           ,                       ,                   ,                       ,                       ,                   ,                     ,                       ,                   ,                      ,                       ,                   ,                      ,                       ,                   ,   866.07  , 55.855 ,16.163 ,0.246 ,23.758 ,10.678 , 35.839 , 5.92  , 3.408 , 53.672 ,293.773 ,1240.802 , 120.724 ,107.222 ,1459.189 , 4.213 , 4.523 , 606.947 , 115.508 , 28.586 , 0.376 , 1.251 ,  13.827 ,385.441
Navratan korma                                                                                    , 2476.1852    ,french              ,lunch/dinner              ,"Balanced, High-Fiber"             ,peanut oil                           ,          1           ,tablespoon        ,onion                    ,          1           ,<unit>            ,curry paste                   ,          0.333333333 ,cup               ,cashews                                ,        100           ,gram              ,chilli powder               ,          1           ,teaspoon          ,stock                      ,          3.25        ,cup               ,potatoes                         ,        400           ,gram              ,vegetables                        ,        800           ,gram              ,yoghurt                                    ,          0.5         ,cup               ,cream                                      ,           0.5         ,cup                ,naan bread                 ,           0           ,                   ,                       ,                       ,                   ,                     ,                       ,                   ,                      ,                       ,                   ,                      ,                       ,                   ,   619.046 , 30.838 ,11.035 ,0.369 ,12.276 , 4.89  , 68.161 ,12.623 , 9.349 , 21.623 , 45.411 , 532.649 , 162.721 ,172.869 ,1442.336 , 5.964 , 3.514 , 455.839 , 668.172 , 46.604 , 0.507 , 1.769 ,  14.593 ,511.267
Chicken and Sausage Jambalaya                                                                     ,10173.86804   ,american            ,lunch/dinner              ,                                   ,chicken                              ,          5.5         ,pound             ,vegetable oil            ,          4           ,tablespoon        ,smoked pork sausage           ,          1.5         ,pound             ,onions                                 ,          3           ,<unit>            ,celery ribs                 ,          2           ,<unit>            ,green bell pepper          ,          1           ,<unit>            ,garlic                           ,          4           ,clove             ,chicken stock                     ,          2           ,cup               ,water                                      ,          1.5         ,cup               ,whole tomatoes                             ,          15           ,ounce              ,cayenne                    ,           0.25        ,teaspoon           ,white rice             ,           2.5         ,cup                ,scallion greens      ,           1           ,cup                ,                      ,                       ,                   ,                      ,                       ,                   ,  1271.734 , 79.425 ,22.17  ,0.553 ,34.521 ,14.678 , 59.278 , 2.346 , 5.713 , 75.068 ,287.563 ,1082.815 ,  93.979 ,110.021 ,1354.034 , 4.473 , 6.209 , 706.465 , 162.824 , 28.869 , 1.559 , 3.132 ,  24.283 ,481.362
Shrimp Gumbo                                                                                      , 2257.064827  ,american            ,teatime                   ,High-Fiber                         ,brown rice                           ,          2           ,cup               ,shrimp                   ,          1           ,pound             ,grapeseed oil                 ,          2           ,tablespoon        ,flour                                  ,          2           ,tablespoon        ,onions                      ,          2           ,<unit>            ,celery                     ,          2           ,stalk             ,garlic                           ,          1           ,clove             ,tomatoes                          ,          1           ,cup               ,dried thyme                                ,          0.5         ,teaspoon          ,dried oregano                              ,           0.5         ,teaspoon           ,smoked paprika             ,           0.5         ,teaspoon           ,cayenne                ,           0.25        ,teaspoon           ,lemon                ,           0.5         ,<unit>             ,Worcestershire sauce  ,                  1    ,tablespoon         ,parsley               ,           2           ,tablespoon         ,   564.266 , 10.274 , 1.357 ,0.005 , 2.163 , 5.964 , 86.995 , 5.994 , 5.199 , 31.921 ,182.571 , 258.201 , 150.2   ,194.172 , 882.791 , 3.345 , 3.754 , 541.554 ,  38.73  , 20.339 , 0     , 2.415 ,  43.626 ,237.809
"Serious Salads: Roasted Beet Salad with Goat Cheese, Walnuts and Honey Dijon Vinaigrette Recipe" , 1878.565008  ,american            ,lunch/dinner              ,"High-Fiber, Low-Carb"             ,beets                                ,          1           ,bunch             ,extra virgin olive oil   ,          1           ,tablespoon        ,honey                         ,          2           ,tablespoon        ,Dijon mustard                          ,          1.5         ,tablespoon        ,red wine vinegar            ,          3           ,tablespoon        ,shallots                   ,          1.5         ,tablespoon        ,salt                             ,          0.5         ,teaspoon          ,black pepper                      ,          0.25        ,teaspoon          ,vegetable oil                              ,          6           ,tablespoon        ,mixed greens                               ,          10           ,ounce              ,goat cheese                ,           3           ,ounce              ,walnuts                ,           0.5         ,cup                ,                     ,                       ,                   ,                      ,                       ,                   ,                      ,                       ,                   ,   469.641 , 39.144 , 5.916 ,0.162 ,20.115 ,11.306 , 24.66  , 5.508 ,17.57  ,  9.364 ,  9.781 , 563.128 ,  95.317 , 66.862 , 610.455 , 2.625 , 1.264 , 182.278 , 326.214 , 12.691 , 0.085 , 5.432 ,  92.694 ,200.328
Air Fryer Crab Rangoon                                                                            , 3169.202523  ,chinese             ,lunch/dinner              ,Balanced                           ,cream cheese                         ,          8           ,ounce             ,crab meat                ,          4           ,ounce             ,scallions                     ,          2           ,tablespoon        ,soy sauce                              ,          1           ,teaspoon          ,Worcestershire sauce        ,          1           ,teaspoon          ,cooking spray              ,          1           ,serving           ,wonton wrappers                  ,         24           ,<unit>            ,chili sauce                       ,          2           ,tablespoon        ,                                           ,                      ,                  ,                                           ,                       ,                   ,                           ,                       ,                   ,                       ,                       ,                   ,                     ,                       ,                   ,                      ,                       ,                   ,                      ,                       ,                   ,   264.1   ,  7.577 , 4.009 ,0.222 , 1.843 , 0.71  , 38.858 , 1.25  , 1.162 ,  9.251 , 34.015 , 547.373 ,  58.957 , 18.833 , 120.925 , 2.288 , 0.922 ,  97.044 ,  62.356 ,  1.017 , 0     , 0.397 ,   2.648 , 39.426
Chicken Pot Pie Casserole                                                                         , 1343.31825   ,british             ,lunch/dinner              ,                                   ,Chicken                              ,          2           ,cup               ,Egg Noodles              ,          3           ,cup               ,Black Pepper                  ,          0.25        ,teaspoon          ,cheddar cheese                         ,          0.5         ,cup               ,milk                        ,          0.5         ,cup               ,                           ,                      ,                  ,                                 ,                      ,                  ,                                  ,                      ,                  ,                                           ,                      ,                  ,                                           ,                       ,                   ,                           ,                       ,                   ,                       ,                       ,                   ,                     ,                       ,                   ,                      ,                       ,                   ,                      ,                       ,                   ,   335.83  , 17.535 , 6.592 ,0.085 , 6.299 , 2.834 , 22.353 , 0.977 , 2.145 , 21.277 , 93.474 , 160.365 , 153.064 , 37.64  , 254.747 , 1.816 , 2.093 , 261.701 ,  95.215 ,  1.12  , 0.707 , 0.439 ,   1.859 , 80.854
Easy Oven BBQ Ribs & Creamy Coleslaw                                                              ,  949.4538281 ,american            ,lunch/dinner              ,Low-Carb                           ,mayonnaise                           ,          0.5         ,cup               ,dijon mustard            ,          2           ,teaspoon          ,vinegar                       ,          1           ,teaspoon          ,sugar                                  ,          1           ,teaspoon          ,salt                        ,          0           ,                  ,pepper                     ,          0           ,                  ,purple cabbage                   ,         14           ,ounce             ,                                  ,                      ,                  ,                                           ,                      ,                  ,                                           ,                       ,                   ,                           ,                       ,                   ,                       ,                       ,                   ,                     ,                       ,                   ,                      ,                       ,                   ,                      ,                       ,                   ,   237.363 , 22.489 , 3.352 ,0     , 5.642 ,13.443 ,  8.764 , 2.285 , 4.874 ,  1.554 , 11.261 , 309.98  ,  48.132 , 17.772 , 250.28  , 0.874 , 0.239 ,  33.147 ,  55.798 , 56.565 , 0     , 0.122 ,  38.592 , 93.026
Grilled Swordfish with Lemon Dill Aioli                                                           , 2121.594375  ,mediterranean       ,lunch/dinner              ,Low-Carb                           ,olive oil                            ,          0.75        ,cup               ,oil                      ,          0.25        ,cup               ,lemon juice                   ,          1.5         ,tablespoon        ,fresh dill                             ,          0.625       ,cup               ,garlic                      ,          1           ,clove             ,swordfish steak            ,          1           ,<unit>            ,salt                             ,          0           ,                  ,                                  ,                      ,                  ,                                           ,                      ,                  ,                                           ,                       ,                   ,                           ,                       ,                   ,                       ,                       ,                   ,                     ,                       ,                   ,                      ,                       ,                   ,                      ,                       ,                   ,   530.399 , 56.419 , 7.143 ,0.07  ,39.221 , 8.477 ,  0.74  , 0.062 , 0.152 ,  6.814 , 22.44  , 223.21  ,   6.818 , 11.16  , 161.726 , 0.467 , 0.249 ,  89.223 ,  17.608 ,  3.629 , 4.726 , 8.912 ,  34.142 , 31.871
Duck Confit Sweet Potato Fries with Smoked Gouda Cheese Sauce recipes                             , 1794.463886  ,american            ,"snack, lunch/dinner"     ,Low-Carb                           ,Sweet Potato Fries                   ,          1           ,<unit>            ,duck fat                 ,          2           ,tablespoon        ,cornstarch                    ,          2           ,tablespoon        ,beef stock                             ,          1.5         ,cup               ,duck                        ,          1           ,leg               ,garlic powder              ,          1           ,teaspoon          ,chili powder                     ,          0.5         ,teaspoon          ,unsalted butter                   ,          2           ,tablespoon        ,cornstarch                                 ,          1           ,tablespoon        ,2% milk                                    ,           1.5         ,cup                ,gouda                      ,           1           ,<unit>             ,kosher salt            ,           0           ,                   ,pepper               ,           0           ,                   ,                      ,                       ,                   ,                      ,                       ,                   ,   448.616 , 38.362 ,15.634 ,0.078 ,16.54  , 4.096 , 12.733 , 0.504 , 5.463 , 13.411 , 80.005 , 622.212 , 180.657 , 29.969 , 453.999 , 1.854 , 1.699 , 237.909 , 148.656 ,  1.856 , 1.836 , 0.944 ,   5.763 ,200.675
Coffee-Braised Lamb Shanks                                                                        , 4249.878307  ,middle eastern      ,lunch/dinner              ,Low-Carb                           ,coriander seeds                      ,          2           ,teaspoon          ,fennel seeds             ,          0.5         ,teaspoon          ,kosher salt                   ,          1.5         ,teaspoon          ,Black pepper                           ,          0           ,                  ,lamb shanks                 ,          4           ,<unit>            ,olive oil                  ,          2           ,tablespoon        ,onion                            ,          1           ,<unit>            ,garlic                            ,          5           ,clove             ,ancho chile powder                         ,          4           ,teaspoon          ,chicken or beef stock                      ,         500           ,milliliter         ,coffee                     ,         250           ,milliliter         ,canned tomatoes        ,         170           ,gram               ,red wine vinegar     ,           2           ,tablespoon         ,harissa               ,                  1.5  ,teaspoon           ,                      ,                       ,                   ,  1062.47  , 70.27  ,30.429 ,0     ,31.097 , 3.88  , 14.193 , 3.521 , 4.972 , 89.284 ,302.784 ,1359.306 , 104.617 ,118.824 ,1790.347 , 8.327 ,18.851 , 874.677 ,  50.792 , 10.425 , 0     , 2.336 ,  12.368 ,570.739
Southern Fried Shrimp With Tartar Sauce                                                           , 8077.0429    ,mediterranean       ,snack                     ,                                   ,Canola oil                           ,          0           ,                  ,mayonnaise               ,          1           ,cup               ,sweet onion                   ,          0.25        ,cup               ,dill pickles                           ,          2           ,tablespoon        ,dill pickles                ,          1           ,teaspoon          ,capers                     ,          1           ,tablespoon        ,chives                           ,          1           ,tablespoon        ,mustard                           ,          2           ,teaspoon          ,kosher salt                                ,          5.25        ,teaspoon          ,self-rising flour                          ,           5.25        ,cup                ,seasoning                  ,           3           ,tablespoon         ,black pepper           ,           0.75        ,teaspoon           ,whole milk           ,           1           ,cup                ,hot sauce             ,                  1    ,tablespoon         ,eggs                  ,           2           ,<unit>             ,  1346.174 , 91.606 ,10.307 ,0.237 ,44.71  ,34.939 , 85.729 , 3.523 , 2.834 , 45.034 ,324.51  ,1891.855 , 551.014 , 87.782 , 651.719 , 7.107 , 3.176 ,1050.739 ,  50.067 ,  2.823 , 0.862 ,10.282 ,  61.578 ,193.752
Eggplant Rollatini                                                                                , 1750.368844  ,italian             ,lunch/dinner              ,High-Fiber                         ,Eggplant                             ,          1           ,<unit>            ,Sea Salt                 ,          1           ,teaspoon          ,Olive oil                     ,          3           ,tablespoon        ,ricotta                                ,          1           ,cup               ,Egg                         ,          1           ,<unit>            ,fresh basil                ,          1           ,bunch             ,lemon                            ,          1           ,<unit>            ,pepper                            ,          0.25        ,teaspoon          ,Parmesan                                   ,          3           ,tablespoon        ,marinara sauce                             ,           1           ,jar                ,Mozzarella                 ,           1           ,<unit>             ,                       ,                       ,                   ,                     ,                       ,                   ,                      ,                       ,                   ,                      ,                       ,                   ,   437.592 , 28.534 ,11.071 ,0.222 ,12.341 , 3.116 , 28.572 , 8.004 ,13.962 , 19.09  ,100.63  ,1066.295 , 442.423 , 82.127 ,1104.408 , 2.602 , 2.152 , 365.587 , 243.478 , 19.794 , 0.486 , 6.332 ,  88.169 ,376.083
Beef Wellington                                                                                   , 6156.078129  ,british             ,lunch/dinner              ,Low-Carb                           ,beef tenderloin                      ,          2.75        ,pound             ,coarse salt              ,          2           ,teaspoon          ,ground pepper                 ,          0.5         ,teaspoon          ,unsalted butter                        ,          2           ,tablespoon        ,onion                       ,          1           ,<unit>            ,white mushrooms            ,          1           ,pound             ,sherry                           ,          0.25        ,cup               ,All-purpose flour                 ,          0           ,                  ,puff pastry                                ,          1           ,pound             ,duck liver                                 ,           0.25        ,pound              ,egg                        ,           1           ,<unit>             ,Sea salt               ,           0           ,                   ,                     ,                       ,                   ,                      ,                       ,                   ,                      ,                       ,                   ,   769.51  , 53.041 ,18.602 ,0.002 ,24.997 , 4.222 , 31.383 , 1.687 , 1.982 , 39.712 ,232.441 , 716.725 ,  54.869 , 50.74  , 736.436 , 8.507 , 6.448 , 407.935 ,1735.302 ,  2.476 , 0.238 , 1.09  ,  12.156 ,176.526
Mushroom and spinach quiche                                                                       , 1257.372222  ,french              ,lunch/dinner              ,Low-Carb                           ,puff pastry                          ,          2           ,sheet             ,olive oil                ,          1           ,tablespoon        ,green onions                  ,          2           ,<unit>            ,button mushrooms                       ,        250           ,gram              ,garlic                      ,          1           ,clove             ,spinach                    ,        100           ,gram              ,eggs                             ,          6           ,<unit>            ,cream                             ,          0.333333333 ,cup               ,fetta                                      ,         50           ,gram              ,                                           ,                       ,                   ,                           ,                       ,                   ,                       ,                       ,                   ,                     ,                       ,                   ,                      ,                       ,                   ,                      ,                       ,                   ,   314.343 , 24.446 , 9.964 ,0.27  , 9.911 , 2.731 , 10.853 , 1.559 , 2.422 , 14.199 ,273.477 , 294.751 , 145.101 , 40.455 , 483.685 , 2.674 , 1.799 , 258.555 , 321.062 ,  9.996 , 1.782 , 1.988 , 140.235 ,155.831
Lamb korma                                                                                        ,  737.5383169 ,indian              ,lunch/dinner              ,"Low-Carb, Low-Sodium"             ,vegetable oil                        ,          2           ,teaspoon          ,curry paste              ,          0.25        ,cup               ,Lamb                          ,          0.5         ,<unit>            ,cream                                  ,          0.25        ,cup               ,mint leaves                 ,          0.25        ,cup               ,Steamed Basmati rice       ,          0           ,                  ,                                 ,                      ,                  ,                                  ,                      ,                  ,                                           ,                      ,                  ,                                           ,                       ,                   ,                           ,                       ,                   ,                       ,                       ,                   ,                     ,                       ,                   ,                      ,                       ,                   ,                      ,                       ,                   ,   184.385 , 18.362 , 8.702 ,0.202 , 7.411 , 1.332 ,  3.677 , 1.087 , 0.66  ,  2.326 , 29.157 ,  91.43  ,  38.48  , 14.006 , 122.858 , 1.492 , 0.444 ,  38.953 ,  85.976 ,  3.053 , 0.238 , 0.938 ,   1.826 , 28.089
Szechuan Chicken Stir-Fry                                                                         , 1763.780594  ,chinese             ,lunch/dinner              ,                                   ,dark sesame oil                      ,          1           ,tablespoon        ,chicken broth            ,          0.5         ,cup               ,soy sauce                     ,          2           ,tablespoon        ,rice vinegar                           ,          1           ,tablespoon        ,chile paste                 ,          2           ,teaspoon          ,cornstarch                 ,          2           ,teaspoon          ,salt                             ,          0.25        ,teaspoon          ,canola oil                        ,          2           ,tablespoon        ,"skinless, boneless chicken breast halves" ,          1           ,pound             ,yellow bell pepper                         ,           1           ,<unit>             ,red bell pepper            ,           1           ,<unit>             ,snow peas              ,           1           ,cup                ,onion                ,           0.5         ,cup                ,fresh ginger          ,                  1    ,tablespoon         ,garlic                ,           1           ,tablespoon         ,   440.945 , 18.858 , 2.427 ,0.036 , 9.053 , 5.531 , 34.135 , 3.742 , 4.122 , 33.482 , 83.681 , 687.915 ,  62.81  , 80.592 , 831.495 , 3.487 , 1.777 , 383.531 ,  78.805 ,142.142 , 0     , 3.302 ,  26.3   ,292.25
Coconut Tandoori Chicken With Rice                                                                , 3807.530568  ,indian              ,lunch/dinner              ,Low-Carb                           ,Jasmine Rice                         ,          0.5         ,cup               ,Extra Virgin Olive Oil   ,          1           ,tablespoon        ,Chicken Thighs                ,          6           ,<unit>            ,Tandoori Paste                         ,          1.5         ,tablespoon        ,Coconut Milk                ,         13.5         ,ounce             ,Kale                       ,          3           ,cup               ,Cilantro                         ,          1           ,tablespoon        ,                                  ,                      ,                  ,                                           ,                      ,                  ,                                           ,                       ,                   ,                           ,                       ,                   ,                       ,                       ,                   ,                     ,                       ,                   ,                      ,                       ,                   ,                      ,                       ,                   ,  1903.765 ,144.771 ,63.604 ,0.492 ,47.118 ,21.579 , 46.135 , 2.004 , 0.822 ,104.033 ,568.216 , 539.264 , 183.792 ,218.223 ,1800.882 ,13.158 , 9.259 ,1174.489 , 215.449 , 32.828 , 0.585 , 2.526 , 140.874 ,568.036
Maple-Glazed Salmon                                                                               , 1476.589162  ,nordic              ,lunch/dinner              ,                                   ,maple syrup                          ,          0.333333333 ,cup               ,lime juice               ,          1           ,tablespoon        ,reduced-sodium soy sauce      ,          1           ,tablespoon        ,cayenne pepper                         ,          0.5         ,teaspoon          ,garlic powder               ,          0.5         ,teaspoon          ,salmon                     ,         20           ,ounce             ,chives                           ,          2           ,tablespoon        ,salt                              ,          0.25        ,teaspoon          ,Lime                                       ,          1           ,wedge             ,                                           ,                       ,                   ,                           ,                       ,                   ,                       ,                       ,                   ,                     ,                       ,                   ,                      ,                       ,                   ,                      ,                       ,                   ,   369.147 , 19.08  , 4.338 ,0     , 5.357 , 5.549 , 18.804 , 0.232 ,16.06  , 29.419 , 77.961 , 360.545 ,  43.936 , 47.942 , 602.934 , 0.639 , 0.956 , 350.662 ,  90.282 ,  8.34  ,15.592 , 5.132 ,   4.122 ,109.913
Vegetable Lo Mein Recipe                                                                          , 1890.890842  ,chinese             ,lunch/dinner              ,High-Fiber                         ,vegetable oil                        ,          1           ,tablespoon        ,shitake mushrooms        ,          4           ,ounce             ,Napa cabbage                  ,          4           ,cup               ,Kosher salt                            ,          0           ,                  ,carrot                      ,          1           ,<unit>            ,snow peas                  ,          7           ,ounce             ,garlic                           ,          1           ,teaspoon          ,ginger                            ,          2           ,teaspoon          ,scallions                                  ,          3           ,<unit>            ,noodles                                    ,          14           ,ounce              ,low-sodium soy sauce       ,           0.25        ,cup                ,Sesame seeds           ,           0           ,                   ,cilantro             ,           0           ,                   ,                      ,                       ,                   ,                      ,                       ,                   ,   945.445 , 16.828 , 2.908 ,0.175 , 7.604 , 4.158 ,163.154 ,13.799 ,12.891 , 38.128 ,166.695 ,1381.003 , 301.717 ,209.413 ,1519.682 ,12.345 , 5.387 , 723.088 , 684.423 ,130.375 , 0.822 , 3.373 , 154.902 ,367.766
Grilled Halibut With Salsa                                                                        ,  744.0995704 ,mexican             ,lunch/dinner              ,High-Protein                       ,halibut                              ,          1           ,pound             ,lime juice               ,          0.333333333 ,cup               ,clam juice                    ,          0.25        ,cup               ,garlic                                 ,          3           ,clove             ,cilantro                    ,          2           ,tablespoon        ,olive oil                  ,          1           ,tablespoon        ,cumin                            ,          0.5         ,teaspoon          ,sea salt                          ,          0           ,                  ,pepper                                     ,          0           ,                  ,salsa                                      ,           2           ,cup                ,                           ,                       ,                   ,                       ,                       ,                   ,                     ,                       ,                   ,                      ,                       ,                   ,                      ,                       ,                   ,   186.025 ,  5.218 , 0.844 ,0     , 3.067 , 0.812 , 11.72  , 2.845 , 5.572 , 24.38  , 55.565 ,1093.764 ,  60.265 , 50.228 , 900.676 , 1.744 , 0.709 , 319.514 ,  54.951 ,  9.368 , 5.33  , 2.912 ,  10.719 ,226.921
